BRG NO,Span Grp,Span Length,Span Length for cal,Span Type,LL:DL Ratio,Year BLT,Rating,>ST45,Semi-Trailer,B-Double,No of lane,Design Key,SPAN@ABS,DESIGNBM,DESIGNShear,HMLBM,HMLShear ,Rating BM,Rating Shear,Final BM,Final Shear,Allowance (DesignLoad),Allowance(FinalRating)
1,2,10.72,10.72,SGIRD,3.5,1967,NR,0,N,N,2,5,0.72,651.631,309.692,0,0,0,0,0,0,0.05,0.111
1,3,31.08,31.08,SGIRD,3.5,1967,NR,0,N,N,2,5,0.08,2615.713,360.767,0,0,0,0,0,0,0.05,0.111
1,4-6,13.35,13.35,SGIRD,3.5,1967,NR,0,N,N,2,5,0.35,923.354,331.382,0,0,0,0,0,0,0.05,0.111
1,7,12.03,12.03,SGIRD,3.5,1967,NR,0,N,N,2,5,0.03,786.729,322.001,0,0,0,0,0,0,0.05,0.111
1,8-15,13.35,13.35,SGIRD,3.5,1967,NR,0,N,N,2,5,0.35,923.354,331.382,0,0,0,0,0,0,0.05,0.111
1,16,13.65,13.65,PGIRD,4,1967,NR,0,N,N,2,5,0.65,953.782,333.062,0,0,0,0,0,0,0.05,0.111
1,7-22,13.95,13.95,PGIRD,4,1967,NR,0,N,N,2,5,0.95,984.21,334.742,0,0,0,0,0,0,0.05,0.111
1,23,13.71,13.71,PGIRD,4,1967,NR,0,N,N,2,5,0.71,959.868,333.398,0,0,0,0,0,0,0.05,0.111
1,1,10.3,10.3,SGIRD,3.5,1967,NR,0,N,N,2,5,0.3,610.057,305.135,0,0,0,0,0,0,0.05,0.111
2,4,19.81,19.81,CBOXG,5,1967,NR,0,Y,Y,2,5,0.81,1557.851,351.938,1824.880693,426.738,0,0,1824.881,426.738,0.05,0.111
2,5,25.9,25.9,CBOXG,5,1967,NR,0,Y,Y,2,5,0.9,2134.452,358.633,2879.647475,510.242,0,0,2879.647,510.242,0.05,0.111
2,2,21.94,21.94,CBOXG,5,1967,NR,0,Y,Y,2,5,0.94,1761.511,355.061,2107.718398,458.515,0,0,2107.718,458.515,0.05,0.111
2,3,18.89,18.89,CBOXG,5,1967,NR,0,Y,Y,2,5,0.89,1469.177,350.234,1701.95966,419.651,0,0,1701.96,419.651,0.05,0.111
2,1,14.02,14.02,CBOXG,5,1967,NR,0,Y,Y,2,5,0.02,991.27,335.107,1066.542008,375.587,0,0,1066.542,375.587,0.05,0.111
3,4,19.5,19.5,CBEAM,2.5,1967,NR,0,Y,Y,2,5,0.5,1527.992,351.376,1783.457013,424.304,0,0,1783.457,424.304,0.05,0.111
3,5,20.72,20.72,CBEAM,2.5,1967,NR,0,Y,Y,2,5,0.72,1645.12,353.394,1946.029576,438.83,0,0,1946.03,438.83,0.05,0.111
3,6,9.75,9.75,CBEAM,2.5,1967,NR,0,Y,Y,2,5,0.75,557.895,298.565,584.049375,297.983,0,0,584.049,297.983,0.05,0.111
