FID,BRG NO,STRUCTURE_,BRIDGE_NAM,DESCRIPTIO,DESCRIPT_1,DESCRIPT_2,FACI_TYPE_,OPER_STAT_,FEATUREREL,CURRENT_YN,BRDG_TYPE_,COMMENT_,Long,Lat
0,9896,9397,<Null>,M7 SHARED PATH,RMP FR SH5EB T M7NB,MINCHINBURY,5,O,5/11/2015 0:00:00,Y,PPLNK, ,150.856629999999996,-33.787400000300003
1,10813,9936,<Null>,HW10 PACIFIC HWY,OVERPASS BRIDGE,24.42KM NTH COFF'S,5,O,5/11/2015 0:00:00,Y,PSUTG, ,153.178703000000013,-30.118904000400001
2,3694,1575,23.91K STH GUNNEDAH,UNNAMED CREEK,CULVERT ON SH29,NEAR BREEZA,4,O,5/11/2015 0:00:00,Y,CCULV, ,150.318500000000000,-31.164520000100001
3,10234,9318,<Null>,SH5,PEDESTRIAN BRIDGE,AUBURN,5,O,5/11/2015 0:00:00,Y,PSUTG, ,151.037620000000004,-33.842280000199999
4,748,494,<Null>,OFF LOAD RMP OV CRK,CULV ON MR620 EB,NARELLAN,4,O,5/11/2015 0:00:00,Y,CCULV, ,150.747289999999992,-34.038240000099997
5,1148,897,<Null>,EDMUNDS GULLY,4 CELL CULVERT,13.17KM SW DUNEDOO,4,O,5/11/2015 0:00:00,Y,CCULV, ,149.275959999999998,-32.061269999799997
6,1066,6160,<Null>,MACDONALDS CREEK,BRIDGE,12.22KM N MUDGEE,5,O,5/11/2015 0:00:00,Y,CBEAM, ,149.514600000000002,-32.505489999900000
7,3490,1388,5.72KM W TAMWORTH,TIMBUMBURI CREEK,BRIDGE ON SH11,IN TAMWORTH,5,O,5/11/2015 0:00:00,Y,CBEAM, ,150.887750000000011,-31.097139999600000
8,944,4594,<Null>,CONISTON,RLY BR OV RD AT,<Null>,5,O,5/11/2015 0:00:00,Y,SGIRD, ,150.886291999999997,-34.441680999799999
9,9695,8933,<Null>,THE BOULEVARDE,PEDESTRIAN BRIDGE,STRATHFIELD,5,O,5/11/2015 0:00:00,Y,CSLBP, ,151.093596999999988,-33.875756999799997
10,1611,5587,<Null>,UNNAMED CK,3/1.82/1.21 CCULV,2.26 K N OF TORONTO,4,O,5/11/2015 0:00:00,Y,CCULV, ,151.598999999999990,-32.994000000299998
